overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
7.5,8,0.5,0,8,7.5,11,Customer
10.0,11,1.0,10,20,7.5,11,Agent
19.0,20,1.0,10,20,19.0,24,Customer
23.0,24,1.0,23,30,19.0,24,Agent
29.0,30,1.0,23,30,29.0,34,Customer
33.0,34,1.0,33,44,29.0,34,Agent
43.0,44,1.0,33,44,43.0,50,Customer
49.0,50,1.0,49,55,43.0,50,Agent
54.0,55,1.0,49,55,54.0,58,Customer
57.0,58,1.0,57,66,54.0,58,Agent
65.0,66,1.0,57,66,65.0,70,Customer
69.0,70,1.0,69,74,65.0,70,Agent
73.0,74,1.0,69,74,73.0,76,Customer
