overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
7.5,8,0.5,0,8,7.5,12.0,Customer
11.0,12,1.0,11,19,7.5,12.0,Agent
18.0,19,1.0,11,19,18.0,22.0,Customer
21.0,22,1.0,21,32,18.0,22.0,Agent
31.0,32,1.0,21,32,31.0,37.0,Customer
36.0,37,1.0,36,45,31.0,37.0,Agent
44.0,45,1.0,36,45,44.0,50.0,Customer
49.0,50,1.0,49,58,44.0,50.0,Agent
57.0,58,1.0,49,58,57.0,62.0,Customer
61.0,62,1.0,61,70,57.0,62.0,Agent
69.0,70,1.0,61,70,69.0,75.0,Customer
74.0,75,1.0,74,78,69.0,75.0,Agent
77.0,78,1.0,74,78,77.0,78.5,Customer
