overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
8.0,9,1.0,8.0,14,5.2,9,Agent
17.0,18,1.0,17.0,27,14.2,18,Agent
30.0,31,1.0,30.0,40,27.5,31,Agent
39.2,40,0.7999999999999972,30.0,40,39.2,45,Customer
44.0,45,1.0,44.0,54,39.2,45,Agent
53.5,54,0.5,44.0,54,53.5,58,Customer
57.5,58,0.5,57.5,67,53.5,58,Agent
66.0,67,1.0,57.5,67,66.0,70,Customer
69.0,70,1.0,69.0,79,66.0,70,Agent
78.5,79,0.5,69.0,79,78.5,83,Customer
82.0,83,1.0,82.0,88,78.5,83,Agent
