overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
10.0,11,1.0,10,19,6.5,11,Agent
18.5,19,0.5,10,19,18.5,21,Customer
20.0,21,1.0,20,30,18.5,21,Agent
29.0,30,1.0,20,30,29.0,34,Customer
33.0,34,1.0,33,40,29.0,34,Agent
39.0,40,1.0,33,40,39.0,44,Customer
43.0,44,1.0,43,51,39.0,44,Agent
50.0,51,1.0,43,51,50.0,52,Customer
51.0,52,1.0,51,60,50.0,52,Agent
59.0,60,1.0,51,60,59.0,65,Customer
64.0,65,1.0,64,71,59.0,65,Agent
70.0,71,1.0,64,71,70.0,73,Customer
72.0,73,1.0,72,76,70.0,73,Agent
