overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
4.5,5,0.5,0,5,4.5,9,Customer
8.0,9,1.0,8,19,4.5,9,Agent
18.5,19,0.5,8,19,18.5,21,Customer
20.0,21,1.0,20,27,18.5,21,Agent
26.0,27,1.0,20,27,26.0,30,Customer
29.0,30,1.0,29,39,26.0,30,Agent
38.0,39,1.0,29,39,38.0,42,Customer
41.0,42,1.0,41,51,38.0,42,Agent
50.0,51,1.0,41,51,50.0,54,Customer
53.0,54,1.0,53,62,50.0,54,Agent
61.0,62,1.0,53,62,61.0,64,Customer
63.0,64,1.0,63,73,61.0,64,Agent
72.0,73,1.0,63,73,72.0,76,Customer
75.0,76,1.0,75,80,72.0,76,Agent
