overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
6.5,7,0.5,0,7,6.5,12,Customer
11.0,12,1.0,11,19,6.5,12,Agent
18.0,19,1.0,11,19,18.0,24,Customer
23.0,24,1.0,23,30,18.0,24,Agent
29.0,30,1.0,23,30,29.0,34,Customer
33.0,34,1.0,33,41,29.0,34,Agent
40.0,41,1.0,33,41,40.0,45,Customer
44.0,45,1.0,44,54,40.0,45,Agent
53.0,54,1.0,44,54,53.0,59,Customer
58.0,59,1.0,58,66,53.0,59,Agent
65.0,66,1.0,58,66,65.0,70,Customer
69.0,70,1.0,69,79,65.0,70,Agent
78.0,79,1.0,69,79,78.0,80,Customer
79.0,80,1.0,79,82,78.0,80,Agent
