overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
11.0,12,1.0,11,20,7.5,12,Agent
19.5,20,0.5,11,20,19.5,24,Customer
23.0,24,1.0,23,30,19.5,24,Agent
29.0,30,1.0,23,30,29.0,34,Customer
33.0,34,1.0,33,43,29.0,34,Agent
42.5,43,0.5,33,43,42.5,48,Customer
47.0,48,1.0,47,56,42.5,48,Agent
55.0,56,1.0,47,56,55.0,59,Customer
58.0,59,1.0,58,64,55.0,59,Agent
63.0,64,1.0,58,64,63.0,66,Customer
65.0,66,1.0,65,75,63.0,66,Agent
74.0,75,1.0,65,75,74.0,78,Customer
77.0,78,1.0,77,80,74.0,78,Agent
