overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
6.5,7,0.5,0,7,6.5,11,Customer
10.0,11,1.0,10,22,6.5,11,Agent
21.0,22,1.0,10,22,21.0,24,Customer
23.0,24,1.0,23,31,21.0,24,Agent
30.0,31,1.0,23,31,30.0,34,Customer
33.0,34,1.0,33,45,30.0,34,Agent
44.0,45,1.0,33,45,44.0,50,Customer
49.0,50,1.0,49,59,44.0,50,Agent
58.0,59,1.0,49,59,58.0,61,Customer
60.0,61,1.0,60,70,58.0,61,Agent
69.0,70,1.0,60,70,69.0,72,Customer
71.0,72,1.0,71,78,69.0,72,Agent
77.0,78,1.0,71,78,77.0,81,Customer
80.0,81,1.0,80,85,77.0,81,Agent
