overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
6.5,7,0.5,0,7,6.5,10,Customer
9.0,10,1.0,9,20,6.5,10,Agent
19.0,20,1.0,9,20,19.0,23,Customer
22.0,23,1.0,22,30,19.0,23,Agent
29.0,30,1.0,22,30,29.0,34,Customer
33.0,34,1.0,33,45,29.0,34,Agent
44.0,45,1.0,33,45,44.0,50,Customer
49.0,50,1.0,49,62,44.0,50,Agent
61.0,62,1.0,49,62,61.0,64,Customer
63.0,64,1.0,63,74,61.0,64,Agent
73.0,74,1.0,63,74,73.0,75,Customer
74.0,75,1.0,74,80,73.0,75,Agent
