overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
6.5,7,0.5,0,7,6.5,11,Customer
10.0,11,1.0,10,21,6.5,11,Agent
20.0,21,1.0,10,21,20.0,24,Customer
23.0,24,1.0,23,31,20.0,24,Agent
30.0,31,1.0,23,31,30.0,33,Customer
32.0,33,1.0,32,45,30.0,33,Agent
44.0,45,1.0,32,45,44.0,50,Customer
49.0,50,1.0,49,56,44.0,50,Agent
55.0,56,1.0,49,56,55.0,59,Customer
58.0,59,1.0,58,66,55.0,59,Agent
65.0,66,1.0,58,66,65.0,68,Customer
67.0,68,1.0,67,75,65.0,68,Agent
74.0,75,1.0,67,75,74.0,78,Customer
