overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
6.5,7,0.5,0,7,6.5,10,Customer
9.0,10,1.0,9,21,6.5,10,Agent
20.0,21,1.0,9,21,20.0,24,Customer
23.0,24,1.0,23,31,20.0,24,Agent
30.0,31,1.0,23,31,30.0,36,Customer
35.0,36,1.0,35,47,30.0,36,Agent
46.0,47,1.0,35,47,46.0,50,Customer
49.0,50,1.0,49,58,46.0,50,Agent
57.0,58,1.0,49,58,57.0,60,Customer
59.0,60,1.0,59,66,57.0,60,Agent
65.0,66,1.0,59,66,65.0,70,Customer
69.0,70,1.0,69,78,65.0,70,Agent
77.0,78,1.0,69,78,77.0,82,Customer
81.0,82,1.0,81,85,77.0,82,Agent
