overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
6.5,7,0.5,0,7,6.5,11,Customer
10.0,11,1.0,10,20,6.5,11,Agent
19.0,20,1.0,10,20,19.0,25,Customer
24.0,25,1.0,24,31,19.0,25,Agent
30.5,31,0.5,24,31,30.5,36,Customer
35.0,36,1.0,35,43,30.5,36,Agent
42.0,43,1.0,35,43,42.0,49,Customer
48.0,49,1.0,48,55,42.0,49,Agent
54.0,55,1.0,48,55,54.0,60,Customer
59.0,60,1.0,59,66,54.0,60,Agent
65.0,66,1.0,59,66,65.0,70,Customer
69.0,70,1.0,69,76,65.0,70,Agent
75.0,76,1.0,69,76,75.0,79,Customer
78.0,79,1.0,78,80,75.0,79,Agent
