overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator,file_id
10.0,12.0,2.0,10.0,19,7.5,12.0,Agent,2db2965e-54fa-41fa-823b-ed79b943f0b1.json
18.0,19.0,1.0,10.0,19,18.0,23.0,Customer,2db2965e-54fa-41fa-823b-ed79b943f0b1.json
22.0,23.0,1.0,22.0,30,18.0,23.0,Agent,2db2965e-54fa-41fa-823b-ed79b943f0b1.json
29.0,30.0,1.0,22.0,30,29.0,33.0,Customer,2db2965e-54fa-41fa-823b-ed79b943f0b1.json
32.0,33.0,1.0,32.0,42,29.0,33.0,Agent,2db2965e-54fa-41fa-823b-ed79b943f0b1.json
41.0,42.0,1.0,32.0,42,41.0,44.0,Customer,2db2965e-54fa-41fa-823b-ed79b943f0b1.json
43.0,44.0,1.0,43.0,50,41.0,44.0,Agent,2db2965e-54fa-41fa-823b-ed79b943f0b1.json
11.0,12.0,1.0,11.0,21,8.0,12.0,Agent,8a9655a7-be88-4921-b0ad-04aa1b9953d1.json
24.0,25.0,1.0,24.0,32,22.0,25.0,Agent,8a9655a7-be88-4921-b0ad-04aa1b9953d1.json
36.0,37.0,1.0,36.0,49,33.0,37.0,Agent,8a9655a7-be88-4921-b0ad-04aa1b9953d1.json
54.0,55.0,1.0,54.0,59,50.0,55.0,Agent,8a9655a7-be88-4921-b0ad-04aa1b9953d1.json
61.0,62.0,1.0,61.0,70,60.0,62.0,Agent,8a9655a7-be88-4921-b0ad-04aa1b9953d1.json
72.0,73.0,1.0,72.0,85,71.0,73.0,Agent,8a9655a7-be88-4921-b0ad-04aa1b9953d1.json
11.0,12.0,1.0,11.0,20,8.5,12.0,Agent,19169ec6-213f-48e9-8ec2-c24ee2e6eb20.json
19.0,20.0,1.0,11.0,20,19.0,25.0,Customer,19169ec6-213f-48e9-8ec2-c24ee2e6eb20.json
24.0,25.0,1.0,24.0,30,19.0,25.0,Agent,19169ec6-213f-48e9-8ec2-c24ee2e6eb20.json
29.0,30.0,1.0,24.0,30,29.0,35.0,Customer,19169ec6-213f-48e9-8ec2-c24ee2e6eb20.json
34.0,35.0,1.0,34.0,42,29.0,35.0,Agent,19169ec6-213f-48e9-8ec2-c24ee2e6eb20.json
41.0,42.0,1.0,34.0,42,41.0,46.0,Customer,19169ec6-213f-48e9-8ec2-c24ee2e6eb20.json
11.0,12.0,1.0,11.0,22,9.0,12.0,Agent,c86714f0-3aeb-4628-8cfa-ee0a46839508.json
24.0,26.0,2.0,24.0,30,23.0,26.0,Agent,c86714f0-3aeb-4628-8cfa-ee0a46839508.json
34.0,35.0,1.0,34.0,45,31.0,35.0,Agent,c86714f0-3aeb-4628-8cfa-ee0a46839508.json
49.0,50.0,1.0,49.0,57,46.0,50.0,Agent,c86714f0-3aeb-4628-8cfa-ee0a46839508.json
60.0,61.0,1.0,60.0,65,58.0,61.0,Agent,c86714f0-3aeb-4628-8cfa-ee0a46839508.json
67.0,68.0,1.0,67.0,75,66.0,68.0,Agent,c86714f0-3aeb-4628-8cfa-ee0a46839508.json
79.0,80.0,1.0,79.0,85,76.0,80.0,Agent,c86714f0-3aeb-4628-8cfa-ee0a46839508.json
11.0,12.0,1.0,11.0,21,8.0,12.0,Agent,0c8297aa-ced1-414e-a175-bf29a9763d30.json
24.0,25.0,1.0,24.0,29,22.0,25.0,Agent,0c8297aa-ced1-414e-a175-bf29a9763d30.json
33.0,34.0,1.0,33.0,45,30.0,34.0,Agent,0c8297aa-ced1-414e-a175-bf29a9763d30.json
50.0,51.0,1.0,50.0,58,46.0,51.0,Agent,0c8297aa-ced1-414e-a175-bf29a9763d30.json
61.0,62.0,1.0,61.0,66,59.0,62.0,Agent,0c8297aa-ced1-414e-a175-bf29a9763d30.json
70.0,71.0,1.0,70.0,80,67.0,71.0,Agent,0c8297aa-ced1-414e-a175-bf29a9763d30.json
83.0,84.0,1.0,83.0,88,81.0,84.0,Agent,0c8297aa-ced1-414e-a175-bf29a9763d30.json
9.0,10.0,1.0,9.0,20,6.5,10.0,Agent,89ab3694-2c42-46bc-a602-c545511bf36e.json
19.5,20.0,0.5,9.0,20,19.5,23.0,Customer,89ab3694-2c42-46bc-a602-c545511bf36e.json
22.0,23.0,1.0,22.0,30,19.5,23.0,Agent,89ab3694-2c42-46bc-a602-c545511bf36e.json
29.0,30.0,1.0,22.0,30,29.0,33.0,Customer,89ab3694-2c42-46bc-a602-c545511bf36e.json
32.0,33.0,1.0,32.0,45,29.0,33.0,Agent,89ab3694-2c42-46bc-a602-c545511bf36e.json
44.0,45.0,1.0,32.0,45,44.0,49.0,Customer,89ab3694-2c42-46bc-a602-c545511bf36e.json
48.0,49.0,1.0,48.0,58,44.0,49.0,Agent,89ab3694-2c42-46bc-a602-c545511bf36e.json
57.5,58.0,0.5,48.0,58,57.5,60.0,Customer,89ab3694-2c42-46bc-a602-c545511bf36e.json
59.0,60.0,1.0,59.0,65,57.5,60.0,Agent,89ab3694-2c42-46bc-a602-c545511bf36e.json
64.0,65.0,1.0,59.0,65,64.0,70.0,Customer,89ab3694-2c42-46bc-a602-c545511bf36e.json
69.0,70.0,1.0,69.0,80,64.0,70.0,Agent,89ab3694-2c42-46bc-a602-c545511bf36e.json
79.5,80.0,0.5,69.0,80,79.5,84.0,Customer,89ab3694-2c42-46bc-a602-c545511bf36e.json
10.0,11.0,1.0,10.0,15,8.5,11.0,Agent,87e28dae-2c70-4122-9452-6ec82164fab2.json
16.0,17.0,1.0,16.0,24,15.5,17.0,Agent,87e28dae-2c70-4122-9452-6ec82164fab2.json
27.0,28.0,1.0,27.0,36,24.5,28.0,Agent,87e28dae-2c70-4122-9452-6ec82164fab2.json
35.5,36.0,0.5,27.0,36,35.5,39.0,Customer,87e28dae-2c70-4122-9452-6ec82164fab2.json
38.0,39.0,1.0,38.0,46,35.5,39.0,Agent,87e28dae-2c70-4122-9452-6ec82164fab2.json
45.5,46.0,0.5,38.0,46,45.5,50.0,Customer,87e28dae-2c70-4122-9452-6ec82164fab2.json
49.0,50.0,1.0,49.0,56,45.5,50.0,Agent,87e28dae-2c70-4122-9452-6ec82164fab2.json
55.5,56.0,0.5,49.0,56,55.5,58.0,Customer,87e28dae-2c70-4122-9452-6ec82164fab2.json
57.0,58.0,1.0,57.0,65,55.5,58.0,Agent,87e28dae-2c70-4122-9452-6ec82164fab2.json
64.5,65.0,0.5,57.0,65,64.5,69.0,Customer,87e28dae-2c70-4122-9452-6ec82164fab2.json
68.0,69.0,1.0,68.0,75,64.5,69.0,Agent,87e28dae-2c70-4122-9452-6ec82164fab2.json
11.5,12.0,0.5,11.5,21,8.0,12.0,Agent,80e5fe02-ec03-4ca5-902a-fdf38e6b7b8a.json
