overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
13.5,14,0.5,13.5,20,8.5,14,Agent
19.0,20,1.0,13.5,20,19.0,26,Customer
25.0,26,1.0,25.0,32,19.0,26,Agent
31.0,32,1.0,25.0,32,31.0,37,Customer
36.0,37,1.0,36.0,45,31.0,37,Agent
44.0,45,1.0,36.0,45,44.0,52,Customer
51.0,52,1.0,51.0,60,44.0,52,Agent
59.0,60,1.0,51.0,60,59.0,65,Customer
64.0,65,1.0,64.0,72,59.0,65,Agent
71.0,72,1.0,64.0,72,71.0,78,Customer
77.0,78,1.0,77.0,85,71.0,78,Agent
84.0,85,1.0,77.0,85,84.0,90,Customer
89.0,90,1.0,89.0,97,84.0,90,Agent
