overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
6.5,7,0.5,0,7,6.5,10,Customer
9.0,10,1.0,9,19,6.5,10,Agent
18.0,19,1.0,9,19,18.0,21,Customer
20.0,21,1.0,20,28,18.0,21,Agent
27.0,28,1.0,20,28,27.0,30,Customer
29.0,30,1.0,29,38,27.0,30,Agent
37.0,38,1.0,29,38,37.0,41,Customer
40.0,41,1.0,40,50,37.0,41,Agent
49.0,50,1.0,40,50,49.0,52,Customer
51.0,52,1.0,51,58,49.0,52,Agent
57.0,58,1.0,51,58,57.0,60,Customer
59.0,60,1.0,59,63,57.0,60,Agent
