overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
11.0,12,1.0,11.0,20,8.5,12,Agent
19.5,20,0.5,11.0,20,19.5,24,Customer
23.0,24,1.0,23.0,30,19.5,24,Agent
29.0,30,1.0,23.0,30,29.0,34,Customer
33.5,34,0.5,33.5,42,29.0,34,Agent
41.0,42,1.0,33.5,42,41.0,47,Customer
46.0,47,1.0,46.0,55,41.0,47,Agent
54.5,55,0.5,46.0,55,54.5,60,Customer
59.0,60,1.0,59.0,68,54.5,60,Agent
67.0,68,1.0,59.0,68,67.0,73,Customer
72.0,73,1.0,72.0,81,67.0,73,Agent
80.0,81,1.0,72.0,81,80.0,85,Customer
84.0,85,1.0,84.0,92,80.0,85,Agent
