overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
4.5,5,0.5,0,5,4.5,9,Customer
8.0,9,1.0,8,17,4.5,9,Agent
16.0,17,1.0,8,17,16.0,20,Customer
19.0,20,1.0,19,26,16.0,20,Agent
25.0,26,1.0,19,26,25.0,30,Customer
29.0,30,1.0,29,38,25.0,30,Agent
37.0,38,1.0,29,38,37.0,43,Customer
42.0,43,1.0,42,51,37.0,43,Agent
50.0,51,1.0,42,51,50.0,58,Customer
57.0,58,1.0,57,65,50.0,58,Agent
64.0,65,1.0,57,65,64.0,70,Customer
69.0,70,1.0,69,75,64.0,70,Agent
74.0,75,1.0,69,75,74.0,82,Customer
81.0,82,1.0,81,88,74.0,82,Agent
