overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator
6.5,7,0.5,0,7,6.5,10,Customer
9.0,10,1.0,9,19,6.5,10,Agent
18.0,19,1.0,9,19,18.0,21,Customer
20.0,21,1.0,20,28,18.0,21,Agent
27.0,28,1.0,20,28,27.0,31,Customer
30.0,31,1.0,30,42,27.0,31,Agent
41.0,42,1.0,30,42,41.0,45,Customer
44.0,45,1.0,44,55,41.0,45,Agent
54.0,55,1.0,44,55,54.0,59,Customer
58.0,59,1.0,58,67,54.0,59,Agent
66.0,67,1.0,58,67,66.0,69,Customer
68.0,69,1.0,68,73,66.0,69,Agent
